DevType,Platform,Count,Rank
Academic researcher,AWS,145,1
Academic researcher,Linux,131,2
Academic researcher,Windows,107,3
Academic researcher,Heroku,98,4
Academic researcher,Docker,77,5
Academic researcher,Microsoft Azure,71,6
Academic researcher,Google Cloud Platform,69,7
Academic researcher,Android,61,8
Academic researcher,MacOS,42,9
Academic researcher,Arduino,38,10
Academic researcher,WordPress,34,11
Academic researcher,DigitalOcean,29,12
Academic researcher,Google Cloud,27,13
Academic researcher,Raspberry Pi,27,14
Academic researcher,iOS,20,15
Academic researcher,Firebase,19,16
Academic researcher,IBM Cloud or Watson,18,17
Academic researcher,Kubernetes,16,18
Academic researcher,Slack Apps and Integrations,14,19
Academic researcher,Amazon Web Services (AWS),9,20
Academic researcher,VMware,6,21
Academic researcher,Slack,6,22
Academic researcher,Oracle Cloud Infrastructure,5,23
Academic researcher,Managed Hosting,4,24
Academic researcher,OpenStack,4,25
Academic researcher,OVH,3,26
Academic researcher,Linode,3,27
Academic researcher,Vercel,2,28
Academic researcher,Colocation,2,29
Academic researcher,Other(s):,2,30
Academic researcher,Vultr,1,31
Academic researcher,Digital Ocean,1,32
Academic researcher,Fly.io,1,33
Academic researcher,Oracle Cloud Infrastructure (OCI),1,34
Academic researcher,Netlify,1,35
Academic researcher,Cloudflare,1,36
Academic researcher,"Linode, now Akamai",1,37
Blockchain,AWS,49,1
Blockchain,Google Cloud,34,2
Blockchain,Heroku,27,3
Blockchain,Firebase,24,4
Blockchain,DigitalOcean,22,5
Blockchain,Microsoft Azure,20,6
Blockchain,Amazon Web Services (AWS),10,7
Blockchain,VMware,7,8
Blockchain,OpenStack,4,9
Blockchain,IBM Cloud or Watson,4,10
Blockchain,Linode,4,11
Blockchain,Digital Ocean,3,12
Blockchain,Cloudflare,3,13
Blockchain,Managed Hosting,3,14
Blockchain,OVH,3,15
Blockchain,Hetzner,2,16
Blockchain,Oracle Cloud Infrastructure,2,17
Blockchain,Colocation,2,18
Blockchain,Vercel,1,19
Blockchain,IBM Cloud Or Watson,1,20
Cloud infrastructure engineer,AWS,163,1
Cloud infrastructure engineer,Google Cloud,101,2
Cloud infrastructure engineer,Microsoft Azure,96,3
Cloud infrastructure engineer,Heroku,49,4
Cloud infrastructure engineer,Firebase,43,5
Cloud infrastructure engineer,DigitalOcean,41,6
Cloud infrastructure engineer,VMware,33,7
Cloud infrastructure engineer,Amazon Web Services (AWS),25,8
Cloud infrastructure engineer,Linode,16,9
Cloud infrastructure engineer,OVH,12,10
Cloud infrastructure engineer,OpenStack,12,11
Cloud infrastructure engineer,Cloudflare,11,12
Cloud infrastructure engineer,Managed Hosting,10,13
Cloud infrastructure engineer,Oracle Cloud Infrastructure,9,14
Cloud infrastructure engineer,Colocation,6,15
Cloud infrastructure engineer,Digital Ocean,5,16
Cloud infrastructure engineer,IBM Cloud or Watson,5,17
Cloud infrastructure engineer,"Linode, now Akamai",4,18
Cloud infrastructure engineer,Hetzner,3,19
Cloud infrastructure engineer,Netlify,3,20
Cloud infrastructure engineer,Oracle Cloud Infrastructure (OCI),2,21
Cloud infrastructure engineer,Fly.io,2,22
Cloud infrastructure engineer,OpenShift,2,23
Cloud infrastructure engineer,Vercel,2,24
Cloud infrastructure engineer,Scaleway,1,25
Cloud infrastructure engineer,IBM Cloud Or Watson,1,26
Data or business analyst,AWS,254,1
Data or business analyst,Microsoft Azure,211,2
Data or business analyst,Windows,187,3
Data or business analyst,Linux,142,4
Data or business analyst,Google Cloud Platform,128,5
Data or business analyst,Heroku,121,6
Data or business analyst,Docker,81,7
Data or business analyst,Google Cloud,61,8
Data or business analyst,MacOS,51,9
Data or business analyst,Android,45,10
Data or business analyst,DigitalOcean,41,11
Data or business analyst,WordPress,41,12
Data or business analyst,Raspberry Pi,38,13
Data or business analyst,Firebase,37,14
Data or business analyst,Arduino,27,15
Data or business analyst,iOS,21,16
Data or business analyst,Kubernetes,21,17
Data or business analyst,Slack Apps and Integrations,19,18
Data or business analyst,IBM Cloud or Watson,18,19
Data or business analyst,Amazon Web Services (AWS),16,20
Data or business analyst,VMware,14,21
Data or business analyst,Oracle Cloud Infrastructure,11,22
Data or business analyst,Slack,9,23
Data or business analyst,Digital Ocean,6,24
Data or business analyst,OpenStack,5,25
Data or business analyst,Linode,5,26
Data or business analyst,OVH,4,27
Data or business analyst,"Linode, now Akamai",2,28
Data or business analyst,Netlify,2,29
Data or business analyst,IBM Cloud Or Watson,2,30
Data or business analyst,Cloudflare,1,31
Data or business analyst,Vercel,1,32
Data or business analyst,Render,1,33
Data or business analyst,Fly.io,1,34
Data or business analyst,Hetzner,1,35
Data or business analyst,Managed Hosting,1,36
Data or business analyst,Colocation,1,37
Data scientist or machine learning specialist,AWS,356,1
Data scientist or machine learning specialist,Microsoft Azure,251,2
Data scientist or machine learning specialist,Linux,214,3
Data scientist or machine learning specialist,Google Cloud Platform,181,4
Data scientist or machine learning specialist,Windows,166,5
Data scientist or machine learning specialist,Heroku,164,6
Data scientist or machine learning specialist,Docker,150,7
Data scientist or machine learning specialist,Google Cloud,101,8
Data scientist or machine learning specialist,MacOS,86,9
Data scientist or machine learning specialist,Amazon Web Services (AWS),66,10
Data scientist or machine learning specialist,Android,59,11
Data scientist or machine learning specialist,DigitalOcean,53,12
Data scientist or machine learning specialist,Raspberry Pi,48,13
Data scientist or machine learning specialist,Kubernetes,44,14
Data scientist or machine learning specialist,Arduino,41,15
Data scientist or machine learning specialist,WordPress,38,16
Data scientist or machine learning specialist,Firebase,36,17
Data scientist or machine learning specialist,IBM Cloud or Watson,26,18
Data scientist or machine learning specialist,Slack Apps and Integrations,25,19
Data scientist or machine learning specialist,VMware,18,20
Data scientist or machine learning specialist,iOS,14,21
Data scientist or machine learning specialist,Slack,10,22
Data scientist or machine learning specialist,Managed Hosting,7,23
Data scientist or machine learning specialist,Digital Ocean,6,24
Data scientist or machine learning specialist,IBM Cloud Or Watson,6,25
Data scientist or machine learning specialist,Oracle Cloud Infrastructure,6,26
Data scientist or machine learning specialist,OpenStack,5,27
Data scientist or machine learning specialist,Vercel,4,28
Data scientist or machine learning specialist,Linode,4,29
Data scientist or machine learning specialist,Oracle Cloud Infrastructure (OCI),3,30
Data scientist or machine learning specialist,Netlify,3,31
Data scientist or machine learning specialist,OpenShift,2,32
Data scientist or machine learning specialist,Cloudflare,2,33
Data scientist or machine learning specialist,Colocation,2,34
Data scientist or machine learning specialist,OVH,2,35
Data scientist or machine learning specialist,Other(s):,2,36
Data scientist or machine learning specialist,Vultr,1,37
Data scientist or machine learning specialist,Hetzner,1,38
Data scientist or machine learning specialist,"Linode, now Akamai",1,39
Database administrator,AWS,316,1
Database administrator,Windows,236,2
Database administrator,Linux,210,3
Database administrator,Microsoft Azure,199,4
Database administrator,Google Cloud Platform,151,5
Database administrator,Heroku,146,6
Database administrator,Docker,129,7
Database administrator,Android,111,8
Database administrator,WordPress,80,9
Database administrator,DigitalOcean,77,10
Database administrator,Raspberry Pi,75,11
Database administrator,MacOS,63,12
Database administrator,iOS,59,13
Database administrator,Google Cloud,56,14
Database administrator,Arduino,50,15
Database administrator,Firebase,38,16
Database administrator,Slack Apps and Integrations,33,17
Database administrator,Kubernetes,30,18
Database administrator,Slack,25,19
Database administrator,VMware,22,20
Database administrator,Managed Hosting,13,21
Database administrator,Oracle Cloud Infrastructure,13,22
Database administrator,IBM Cloud or Watson,10,23
Database administrator,OVH,7,24
Database administrator,Linode,7,25
Database administrator,OpenStack,6,26
Database administrator,Other(s):,3,27
Database administrator,Amazon Web Services (AWS),2,28
Database administrator,Oracle Cloud Infrastructure (OCI),1,29
Database administrator,Colocation,1,30
Designer,AWS,241,1
Designer,Windows,239,2
Designer,Heroku,174,3
Designer,Linux,169,4
Designer,Android,150,5
Designer,Microsoft Azure,140,6
Designer,Google Cloud Platform,112,7
Designer,WordPress,104,8
Designer,Docker,97,9
Designer,MacOS,85,10
Designer,iOS,64,11
Designer,DigitalOcean,60,12
Designer,Raspberry Pi,60,13
Designer,Google Cloud,54,14
Designer,Arduino,54,15
Designer,Firebase,53,16
Designer,Slack Apps and Integrations,20,17
Designer,Kubernetes,20,18
Designer,Slack,18,19
Designer,VMware,15,20
Designer,Oracle Cloud Infrastructure,10,21
Designer,IBM Cloud or Watson,9,22
Designer,Managed Hosting,6,23
Designer,Linode,6,24
Designer,OVH,5,25
Designer,Digital Ocean,2,26
Designer,Colocation,2,27
Designer,IBM Cloud Or Watson,1,28
Designer,Oracle Cloud Infrastructure (OCI),1,29
Designer,Vercel,1,30
Designer,Amazon Web Services (AWS),1,31
Designer,Cloudflare,1,32
Designer,Netlify,1,33
Designer,Other(s):,1,34
DevOps specialist,AWS,517,1
DevOps specialist,Microsoft Azure,333,2
DevOps specialist,Linux,246,3
DevOps specialist,Docker,218,4
DevOps specialist,Heroku,195,5
DevOps specialist,Windows,169,6
DevOps specialist,Google Cloud Platform,163,7
DevOps specialist,DigitalOcean,125,8
DevOps specialist,MacOS,107,9
DevOps specialist,Google Cloud,98,10
DevOps specialist,Kubernetes,88,11
DevOps specialist,Android,86,12
DevOps specialist,Raspberry Pi,66,13
DevOps specialist,Firebase,49,14
DevOps specialist,Amazon Web Services (AWS),49,15
DevOps specialist,WordPress,48,16
DevOps specialist,Arduino,41,17
DevOps specialist,iOS,37,18
DevOps specialist,Slack Apps and Integrations,37,19
DevOps specialist,VMware,34,20
DevOps specialist,IBM Cloud or Watson,23,21
DevOps specialist,Cloudflare,20,22
DevOps specialist,Managed Hosting,19,23
DevOps specialist,OVH,17,24
DevOps specialist,Slack,16,25
DevOps specialist,Oracle Cloud Infrastructure,14,26
DevOps specialist,Linode,13,27
DevOps specialist,Digital Ocean,12,28
DevOps specialist,OpenStack,9,29
DevOps specialist,Hetzner,8,30
DevOps specialist,Oracle Cloud Infrastructure (OCI),6,31
DevOps specialist,Colocation,6,32
DevOps specialist,"Linode, now Akamai",5,33
DevOps specialist,Vercel,5,34
DevOps specialist,Netlify,5,35
DevOps specialist,OpenShift,4,36
DevOps specialist,Scaleway,1,37
DevOps specialist,Vultr,1,38
Developer Advocate,Netlify,2,1
Developer Advocate,Microsoft Azure,1,2
Developer Advocate,Google Cloud,1,3
Developer Experience,Amazon Web Services (AWS),5,1
Developer Experience,Google Cloud,4,2
Developer Experience,Netlify,3,3
Developer Experience,Microsoft Azure,3,4
Developer Experience,Firebase,3,5
Developer Experience,Cloudflare,2,6
Developer Experience,Vercel,2,7
Developer Experience,Heroku,1,8
Developer Experience,Hetzner,1,9
"Developer, QA or test",AWS,239,1
"Developer, QA or test",Windows,174,2
"Developer, QA or test",Microsoft Azure,171,3
"Developer, QA or test",Linux,162,4
"Developer, QA or test",Heroku,138,5
"Developer, QA or test",Docker,119,6
"Developer, QA or test",Google Cloud Platform,111,7
"Developer, QA or test",Android,86,8
"Developer, QA or test",MacOS,81,9
"Developer, QA or test",WordPress,53,10
"Developer, QA or test",DigitalOcean,51,11
"Developer, QA or test",iOS,40,12
"Developer, QA or test",Google Cloud,39,13
"Developer, QA or test",Firebase,37,14
"Developer, QA or test",Raspberry Pi,35,15
"Developer, QA or test",Arduino,32,16
"Developer, QA or test",Kubernetes,29,17
"Developer, QA or test",Slack Apps and Integrations,22,18
"Developer, QA or test",Amazon Web Services (AWS),18,19
"Developer, QA or test",Slack,16,20
"Developer, QA or test",VMware,14,21
"Developer, QA or test",IBM Cloud or Watson,10,22
"Developer, QA or test",Oracle Cloud Infrastructure,7,23
"Developer, QA or test",Digital Ocean,6,24
"Developer, QA or test",OVH,3,25
"Developer, QA or test",Other(s):,3,26
"Developer, QA or test",Vercel,2,27
"Developer, QA or test",Netlify,2,28
"Developer, QA or test",Linode,2,29
"Developer, QA or test",OpenStack,2,30
"Developer, QA or test",Hetzner,1,31
"Developer, QA or test",Cloudflare,1,32
"Developer, QA or test",Render,1,33
"Developer, QA or test","Linode, now Akamai",1,34
"Developer, QA or test",Managed Hosting,1,35
"Developer, back-end",AWS,2493,1
"Developer, back-end",Heroku,1351,2
"Developer, back-end",Microsoft Azure,1349,3
"Developer, back-end",Linux,1244,4
"Developer, back-end",Windows,1137,5
"Developer, back-end",Docker,917,6
"Developer, back-end",Google Cloud Platform,859,7
"Developer, back-end",DigitalOcean,559,8
"Developer, back-end",Android,538,9
"Developer, back-end",MacOS,536,10
"Developer, back-end",Google Cloud,535,11
"Developer, back-end",Amazon Web Services (AWS),436,12
"Developer, back-end",Firebase,369,13
"Developer, back-end",Raspberry Pi,278,14
"Developer, back-end",WordPress,274,15
"Developer, back-end",Kubernetes,261,16
"Developer, back-end",Arduino,218,17
"Developer, back-end",iOS,200,18
"Developer, back-end",Slack Apps and Integrations,180,19
"Developer, back-end",VMware,121,20
"Developer, back-end",Digital Ocean,97,21
"Developer, back-end",Slack,97,22
"Developer, back-end",Cloudflare,85,23
"Developer, back-end",Managed Hosting,75,24
"Developer, back-end",IBM Cloud or Watson,65,25
"Developer, back-end",Vercel,64,26
"Developer, back-end",Netlify,47,27
"Developer, back-end",Oracle Cloud Infrastructure,45,28
"Developer, back-end",Linode,40,29
"Developer, back-end",OVH,39,30
"Developer, back-end",OpenStack,27,31
"Developer, back-end",OpenShift,21,32
"Developer, back-end","Linode, now Akamai",19,33
"Developer, back-end",Fly.io,16,34
"Developer, back-end",Oracle Cloud Infrastructure (OCI),16,35
"Developer, back-end",Render,15,36
"Developer, back-end",Hetzner,14,37
"Developer, back-end",Vultr,10,38
"Developer, back-end",IBM Cloud Or Watson,8,39
"Developer, back-end",Other(s):,8,40
"Developer, back-end",Colocation,5,41
"Developer, back-end",Scaleway,3,42
"Developer, desktop or enterprise applications",Windows,542,1
"Developer, desktop or enterprise applications",Microsoft Azure,462,2
"Developer, desktop or enterprise applications",AWS,461,3
"Developer, desktop or enterprise applications",Linux,350,4
"Developer, desktop or enterprise applications",Heroku,248,5
"Developer, desktop or enterprise applications",Android,236,6
"Developer, desktop or enterprise applications",Docker,207,7
"Developer, desktop or enterprise applications",Google Cloud Platform,182,8
"Developer, desktop or enterprise applications",MacOS,117,9
"Developer, desktop or enterprise applications",DigitalOcean,107,10
"Developer, desktop or enterprise applications",Arduino,104,11
"Developer, desktop or enterprise applications",Raspberry Pi,100,12
"Developer, desktop or enterprise applications",Google Cloud,90,13
"Developer, desktop or enterprise applications",Firebase,88,14
"Developer, desktop or enterprise applications",iOS,83,15
"Developer, desktop or enterprise applications",WordPress,82,16
"Developer, desktop or enterprise applications",Kubernetes,49,17
"Developer, desktop or enterprise applications",Slack Apps and Integrations,43,18
"Developer, desktop or enterprise applications",VMware,37,19
"Developer, desktop or enterprise applications",Amazon Web Services (AWS),31,20
"Developer, desktop or enterprise applications",IBM Cloud or Watson,24,21
"Developer, desktop or enterprise applications",Slack,16,22
"Developer, desktop or enterprise applications",Oracle Cloud Infrastructure,15,23
"Developer, desktop or enterprise applications",Managed Hosting,10,24
"Developer, desktop or enterprise applications",OVH,8,25
"Developer, desktop or enterprise applications",Netlify,7,26
"Developer, desktop or enterprise applications",OpenStack,5,27
"Developer, desktop or enterprise applications",Linode,5,28
"Developer, desktop or enterprise applications",Vercel,4,29
"Developer, desktop or enterprise applications",Cloudflare,4,30
"Developer, desktop or enterprise applications",Oracle Cloud Infrastructure (OCI),3,31
"Developer, desktop or enterprise applications",Hetzner,3,32
"Developer, desktop or enterprise applications","Linode, now Akamai",3,33
"Developer, desktop or enterprise applications",Colocation,2,34
"Developer, desktop or enterprise applications",Other(s):,2,35
"Developer, desktop or enterprise applications",Digital Ocean,1,36
"Developer, desktop or enterprise applications",Fly.io,1,37
"Developer, desktop or enterprise applications",IBM Cloud Or Watson,1,38
"Developer, embedded applications or devices",AWS,177,1
"Developer, embedded applications or devices",Windows,151,2
"Developer, embedded applications or devices",Linux,140,3
"Developer, embedded applications or devices",Microsoft Azure,115,4
"Developer, embedded applications or devices",Android,108,5
"Developer, embedded applications or devices",Heroku,91,6
"Developer, embedded applications or devices",Google Cloud Platform,82,7
"Developer, embedded applications or devices",Docker,71,8
"Developer, embedded applications or devices",Arduino,64,9
"Developer, embedded applications or devices",Raspberry Pi,59,10
"Developer, embedded applications or devices",Google Cloud,51,11
"Developer, embedded applications or devices",MacOS,47,12
"Developer, embedded applications or devices",iOS,45,13
"Developer, embedded applications or devices",Firebase,38,14
"Developer, embedded applications or devices",WordPress,36,15
"Developer, embedded applications or devices",DigitalOcean,34,16
"Developer, embedded applications or devices",Kubernetes,22,17
"Developer, embedded applications or devices",VMware,19,18
"Developer, embedded applications or devices",Amazon Web Services (AWS),16,19
"Developer, embedded applications or devices",Slack Apps and Integrations,12,20
"Developer, embedded applications or devices",IBM Cloud or Watson,11,21
"Developer, embedded applications or devices",Oracle Cloud Infrastructure,8,22
"Developer, embedded applications or devices",Slack,8,23
"Developer, embedded applications or devices",Cloudflare,4,24
"Developer, embedded applications or devices",OVH,4,25
"Developer, embedded applications or devices",Linode,3,26
"Developer, embedded applications or devices",OpenStack,3,27
"Developer, embedded applications or devices",Vultr,2,28
"Developer, embedded applications or devices",Render,1,29
"Developer, embedded applications or devices",Digital Ocean,1,30
"Developer, embedded applications or devices",Vercel,1,31
"Developer, embedded applications or devices",Colocation,1,32
"Developer, embedded applications or devices",Managed Hosting,1,33
"Developer, embedded applications or devices",Other(s):,1,34
"Developer, front-end",AWS,1376,1
"Developer, front-end",Heroku,1061,2
"Developer, front-end",Windows,791,3
"Developer, front-end",Microsoft Azure,738,4
"Developer, front-end",Linux,710,5
"Developer, front-end",Google Cloud Platform,567,6
"Developer, front-end",Docker,497,7
"Developer, front-end",Android,463,8
"Developer, front-end",Firebase,428,9
"Developer, front-end",MacOS,393,10
"Developer, front-end",DigitalOcean,373,11
"Developer, front-end",Google Cloud,312,12
"Developer, front-end",WordPress,291,13
"Developer, front-end",iOS,217,14
"Developer, front-end",Raspberry Pi,185,15
"Developer, front-end",Arduino,160,16
"Developer, front-end",Slack Apps and Integrations,111,17
"Developer, front-end",Amazon Web Services (AWS),108,18
"Developer, front-end",Kubernetes,101,19
"Developer, front-end",Vercel,97,20
"Developer, front-end",Netlify,78,21
"Developer, front-end",Slack,64,22
"Developer, front-end",VMware,63,23
"Developer, front-end",IBM Cloud or Watson,43,24
"Developer, front-end",Managed Hosting,41,25
"Developer, front-end",Digital Ocean,39,26
"Developer, front-end",Cloudflare,31,27
"Developer, front-end",OVH,25,28
"Developer, front-end",Linode,25,29
"Developer, front-end",Oracle Cloud Infrastructure,23,30
"Developer, front-end",Render,11,31
